,Age [ka BP],ln(Zr/Rb),SS [um],ACC strength [m/s],ACC strength [%],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
63,32.0,0.914,15.0306,4.7468,60.055,-1.6459695652173956,-2.2385186086956583,-0.3127342173913048,-9.869952922754702,-1.2509368695652205,-9.869952922754702,-2.3208170869565277
64,32.5,0.9245,15.0559,4.7896,60.598,-1.620669565217396,-2.204110608695659,-0.3079272173913048,-9.718243064794658,-1.231708869565221,-9.718243064794656,-2.285144086956528
65,33.0,0.941,15.0957,4.8571,61.451,-1.5808695652173945,-2.1499826086956566,-0.3003652173913052,-9.479584869268564,-1.2014608695652198,-9.479584869268564,-2.229026086956526
66,33.5,0.9435,15.1017,4.8672,61.579,-1.574869565217396,-2.1418226086956587,-0.29922521739130525,-9.443606246827455,-1.196900869565221,-9.443606246827455,-2.2205660869565285
67,34.0,0.9604,15.1424,4.9362,62.452,-1.534169565217395,-2.0864706086956573,-0.29149221739130526,-9.199551257935196,-1.1659688695652202,-9.199551257935196,-2.163179086956527
68,34.5,0.9734,15.1737,4.9894,63.125,-1.5028695652173951,-2.0439026086956575,-0.2855452173913049,-9.01186277753403,-1.1421808695652202,-9.01186277753403,-2.119046086956527
69,35.0,0.9664,15.1567,4.9605,62.76,-1.5198695652173946,-2.0670226086956567,-0.2887752173913052,-9.113802207783861,-1.1551008695652198,-9.113802207783861,-2.1430160869565262
70,35.5,0.975,15.1775,4.9958,63.206,-1.499069565217395,-2.0387346086956573,-0.28482321739130523,-8.989076316654653,-1.1392928695652202,-8.989076316654653,-2.113688086956527
71,36.0,0.9948,15.2253,5.0768,64.23,-1.4512695652173946,-1.9737266086956569,-0.27574121739130475,-8.70244662454041,-1.1029648695652199,-8.702446624540409,-2.0462900869565264
72,36.5,1.0074,15.2554,5.1278,64.876,-1.4211695652173955,-1.9327906086956579,-0.27002221739130516,-8.521953868627472,-1.0800888695652207,-8.521953868627472,-2.0038490869565275
73,37.0,1.0108,15.2636,5.1417,65.052,-1.412969565217395,-1.9216386086956574,-0.268464217391305,-8.472783084624607,-1.0738568695652202,-8.472783084624607,-1.9922870869565268
74,37.5,0.9959,15.2279,5.0811,64.286,-1.4486695652173953,-1.9701906086956578,-0.275247217391305,-8.686855888149262,-1.1009888695652204,-8.686855888149262,-2.0426240869565273
75,38.0,0.9954,15.2265,5.0788,64.257,-1.4500695652173956,-1.9720946086956581,-0.2755132173913051,-8.695250900052192,-1.1020528695652207,-8.695250900052192,-2.044598086956528
76,38.5,1.0042,15.2478,5.1148,64.712,-1.4287695652173955,-1.943126608695658,-0.27146621739130494,-8.567526790386221,-1.0858648695652207,-8.567526790386221,-2.0145650869565275
77,39.0,1.0006,15.2391,5.1002,64.527,-1.4374695652173948,-1.954958608695657,-0.27311921739130485,-8.619695792925839,-1.09247686956522,-8.619695792925839,-2.0268320869565266
78,39.5,1.0117,15.2659,5.1456,65.102,-1.410669565217395,-1.9185106086956574,-0.268027217391305,-8.458991279355512,-1.0721088695652203,-8.458991279355512,-1.989044086956527
79,40.0,1.0054,15.2506,5.1197,64.773,-1.425969565217395,-1.9393186086956573,-0.27093421739130474,-8.550736766580364,-1.08373686956522,-8.550736766580362,-2.0106170869565267
80,40.5,0.9871,15.2066,5.045,63.829,-1.4699695652173954,-1.9991586086956579,-0.2792942173913051,-8.814579997815233,-1.1171768695652204,-8.814579997815231,-2.0726570869565273
81,41.0,0.9942,15.2236,5.074,64.195,-1.452969565217396,-1.9760386086956587,-0.27606421739130527,-8.712640567565403,-1.1042568695652208,-8.712640567565401,-2.0486870869565283
82,41.5,1.014,15.2713,5.1548,65.218,-1.4052695652173952,-1.9111666086956576,-0.267001217391305,-8.426610519158508,-1.0680048695652204,-8.426610519158508,-1.9814300869565271
83,42.0,1.0228,15.2925,5.1907,65.672,-1.3840695652173949,-1.8823346086956572,-0.2629732173913051,-8.299486053199887,-1.05189286956522,-8.299486053199887,-1.9515380869565266
84,42.5,1.0317,15.314,5.2272,66.133,-1.3625695652173953,-1.8530946086956577,-0.25888821739130496,-8.170562656119216,-1.0355528695652203,-8.170562656119214,-1.9212230869565272
85,43.0,1.0272,15.3031,5.2087,65.9,-1.3734695652173947,-1.867918608695657,-0.2609592173913051,-8.235923820220577,-1.04383686956522,-8.235923820220577,-1.9365920869565265
86,43.5,1.0272,15.3031,5.2087,65.9,-1.3734695652173947,-1.867918608695657,-0.2609592173913051,-8.235923820220577,-1.04383686956522,-8.235923820220577,-1.9365920869565265
87,44.0,1.0329,15.3168,5.2319,66.194,-1.3597695652173947,-1.849286608695657,-0.25835621739130477,-8.153772632313357,-1.03342486956522,-8.153772632313357,-1.9172750869565265
88,44.5,1.0406,15.3355,5.2636,66.594,-1.3410695652173956,-1.8238546086956582,-0.2548032173913053,-8.041639259038545,-1.0192128695652207,-8.041639259038545,-1.8909080869565278
89,45.0,1.032,15.3149,5.2286,66.151,-1.3616695652173956,-1.851870608695658,-0.25871721739130504,-8.16516586275305,-1.0348688695652206,-8.16516586275305,-1.9199540869565277
90,45.5,1.0255,15.2991,5.2018,65.813,-1.377469565217396,-1.8733586086956588,-0.2617192173913052,-8.259909568514665,-1.046876869565221,-8.259909568514665,-1.9422320869565284
91,46.0,1.0189,15.2832,5.1749,65.472,-1.3933695652173945,-1.8949826086956567,-0.2647402173913047,-8.355252917983618,-1.05896086956522,-8.355252917983618,-1.9646510869565261
92,46.5,1.0139,15.2711,5.1543,65.212,-1.4054695652173947,-1.911438608695657,-0.267039217391305,-8.427809806573208,-1.06815686956522,-8.427809806573206,-1.9817120869565266
93,47.0,1.0075,15.2557,5.1283,64.882,-1.4208695652173962,-1.9323826086956588,-0.2699652173913054,-8.52015493750542,-1.079860869565221,-8.52015493750542,-2.0034260869565284
94,47.5,0.9889,15.2109,5.0524,63.922,-1.4656695652173948,-1.9933106086956571,-0.27847721739130504,-8.788795318399096,-1.11390886956522,-8.788795318399094,-2.0665940869565267
95,48.0,0.9832,15.1972,5.0291,63.627,-1.4793695652173948,-2.011942608695657,-0.2810802173913052,-8.870946506306314,-1.12432086956522,-8.870946506306314,-2.0859110869565267
96,48.5,0.9919,15.2181,5.0646,64.076,-1.4584695652173956,-1.9835186086956582,-0.277109217391305,-8.745620971469759,-1.1084368695652207,-8.745620971469759,-2.0564420869565274
97,49.0,1.0077,15.2561,5.1291,64.892,-1.4204695652173953,-1.9318386086956578,-0.269889217391305,-8.517756362676007,-1.0795568695652205,-8.517756362676007,-2.0028620869565272
