,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std,LR04_age,SS_unitv,SS_dHolocene,SS_offset,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
72,MD02-2588-72.5,0.725,0.725,4.108888416,0.093047864,,2.852308669,0.870859345,,8.698230701,16.45667886,21.6242,,26.224,-0.06488028772831239,0.1112866666666612,21.6242,0.1402211999999931,0.02003159999999901,0.5173017012727295,0.1457855333333262
73,MD02-2588-73.5,0.735,0.735,4.296365585,0.124753158,,2.977185115,0.959449658,,4.800768123,9.082847075,26.1867,,26.68,2.1937338071122534,4.673786666666661,26.1867,5.888971199999993,0.8412815999999985,21.725493866164697,6.122660533333327
74,MD02-2588-74.5,0.745,0.745,4.394216237,0.082552052,,2.74307746,0.821195571,,6.943997943,13.13774583,24.7477,,27.136,1.4813731095833604,3.234786666666661,24.7477,4.075831199999993,0.582261599999998,15.036488161993839,4.237570533333327
75,MD02-2588-75.5,0.755,0.755,4.388185467,0.103990714,,3.254043432,0.98562435,,3.948545516,11.43118492,19.3234,,27.592,-1.203865341845391,-2.1895133333333376,19.3234,-2.7587868000000055,-0.3941124000000005,-10.17767003198391,-2.8682624666666725
76,MD02-2588-76.5,0.765,0.765,4.261908635,0.075751365,,2.960357646,0.866789528,,3.340690807,20.58542736,26.2275,,27.89,2.2139313863055676,4.714586666666662,26.2275,5.940379199999994,0.8486255999999983,21.915147398291296,6.176108533333328
77,MD02-2588-77.5,0.775,0.775,4.327770402,0.07920847,,2.761233275,0.950026972,,2.664180099,16.41675003,27.4945,,28.03,2.8411454264508818,5.9815866666666615,27.4945,7.536799199999994,1.0766855999999994,27.804633310163755,7.835878533333327
78,MD02-2588-78.5,0.785,0.785,4.378979999,0.084128405,,3.495095725,0.94539017,,2.1915235,13.50422725,22.9312,,28.17,0.5821353006457423,1.4182866666666634,22.9312,1.7870411999999958,0.2552915999999994,6.5927224485634355,1.857955533333329
79,MD02-2588-79.5,0.795,0.795,4.369340487,0.145230557,,2.972202662,1.03452483,,1.22492727,7.548035062,28.0964,,28.31,3.1391092234228353,6.583486666666662,28.0964,8.295193199999995,1.185027599999998,30.602487746119593,8.624367533333327
80,MD02-2588-80.5,0.805,0.805,4.280277899,0.098703377,,3.357827333,0.616555866,,3.395297513,20.92191537,22.2835,,28.45,0.2614987309518825,0.770586666666663,22.2835,0.9709391999999953,0.1387055999999992,3.581972626053729,1.0094685333333286
81,MD02-2588-81.5,0.815,0.815,4.306550281,-0.010134102,,2.901525895,0.963518672,,4.507938612,27.77804,26.1398,,28.59,2.170516491814058,4.626886666666664,26.1398,5.829877199999997,0.8328395999999989,21.507485271636835,6.06122153333333
