,Depth (mcd),Age (Hall 2001),LR04 Age (Elderfield 2012),SS_mean,SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
64,6.48,0.153355437665782,156.927601809955,16.813,-0.4552499999999995,-0.6191399999999994,-0.0864974999999999,-2.6363412621429476,-0.6419024999999993
65,6.57,0.155551724137931,158.841628959276,16.361,-0.9072499999999977,-1.2338599999999968,-0.17237749999999963,-5.253861856296948,-1.2792224999999966
66,6.7,0.158724137931034,161.606334841629,15.606,-1.6622499999999985,-2.260659999999998,-0.3158274999999997,-9.626047804496682,-2.343772499999998
67,6.78,0.160676392572944,163.307692307692,16.025,-1.2432499999999997,-1.6908199999999998,-0.23621749999999997,-7.199629377614987,-1.7529824999999994
68,6.9,0.163604774535809,165.85972850678704,14.694,-2.5742499999999975,-3.5009799999999967,-0.48910749999999936,-14.907416790931318,-3.6296924999999964
69,6.98,0.165557029177719,167.56108597285103,17.664,0.39575000000000315,0.5382200000000044,0.07519250000000055,2.291778263576235,0.5580075000000044
70,7.1,0.168485411140584,170.11312217194597,16.248,-1.0202499999999972,-1.3875399999999962,-0.1938474999999995,-5.908242004835448,-1.438552499999996
71,7.22,0.171413793103448,172.66515837104066,16.048,-1.22025,-1.6595400000000002,-0.23184749999999998,-7.066436958000957,-1.7205525
72,7.31,0.173610079575597,174.57918552036196,14.911,-2.3572499999999987,-3.2058599999999986,-0.4478774999999997,-13.65077526674677,-3.323722499999998
73,7.42,0.176294429708223,176.91855203619897,15.655,-1.613249999999999,-2.1940199999999987,-0.30651749999999955,-9.342290040971141,-2.2746824999999986
74,7.52,0.17873474801061,179.04524886877803,16.542,-0.7262499999999967,-0.9876999999999956,-0.13798749999999949,-4.205695423682173,-1.0240124999999953
75,7.64,0.181663129973475,181.59728506787297,15.416,-1.852249999999998,-2.5190599999999974,-0.3519274999999995,-10.726333010003898,-2.611672499999997
76,7.72,0.183615384615385,183.298642533937,15.838,-1.4302499999999991,-1.945139999999999,-0.2717474999999996,-8.282541658824718,-2.016652499999999
77,7.82,0.186055702917772,185.506666666667,15.755,-1.5132499999999975,-2.058019999999997,-0.2875174999999994,-8.763192564388387,-2.1336824999999964
78,7.95,0.189228116710875,188.80000000000004,15.804,-1.464249999999998,-1.9913799999999975,-0.2782074999999995,-8.479434800862846,-2.064592499999997
79,8.02,0.190936339522546,190.573333333333,14.35,-2.9182499999999987,-3.9688199999999987,-0.554467499999999,-16.899512110375976,-4.114732499999998
80,8.11,0.193132625994695,192.8533333333335,13.455,-3.8132499999999983,-5.186019999999998,-0.7245174999999993,-22.082434525791548,-5.376682499999998
