,Depth [m],Age [ka BP],Revised Age (Starr),SS avg [µm],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
141,0.865,47.3,46.06325581395348,23.55,-2.370000000000001,-3.2232000000000016,-0.4502999999999999,-1.8012000000000008,-9.14351851851852,-3.3417000000000012
142,0.87,47.54,46.30744186046511,23.29,-2.6300000000000026,-3.5768000000000035,-0.49970000000000026,-1.998800000000002,-10.146604938271613,-3.7083000000000035
143,0.875,47.78,46.55162790697674,23.18,-2.740000000000002,-3.726400000000003,-0.5206000000000004,-2.0824000000000016,-10.570987654320996,-3.8634000000000026
144,0.88,48.03,46.79581395348837,23.12,-2.8000000000000007,-3.808000000000001,-0.5320000000000005,-2.1280000000000006,-10.802469135802472,-3.948000000000001
145,0.885,48.27,47.03999999999999,23.25,-2.6700000000000017,-3.6312000000000024,-0.5073000000000008,-2.0292000000000012,-10.300925925925931,-3.764700000000002
146,0.89,48.52,47.28418604651162,23.31,-2.610000000000003,-3.5496000000000043,-0.4959000000000007,-1.9836000000000023,-10.069444444444455,-3.680100000000004
147,0.895,48.76,47.52837209302325,23.47,-2.450000000000003,-3.3320000000000043,-0.4655,-1.862000000000002,-9.45216049382717,-3.454500000000004
148,0.9,49.0,47.77255813953488,23.55,-2.370000000000001,-3.2232000000000016,-0.4502999999999999,-1.8012000000000008,-9.14351851851852,-3.3417000000000012
149,0.905,49.25,48.01674418604651,23.74,-2.1800000000000033,-2.9648000000000048,-0.41420000000000057,-1.6568000000000025,-8.410493827160506,-3.0738000000000043
150,0.91,49.49,48.26093023255814,24.05,-1.870000000000001,-2.5432000000000015,-0.35530000000000017,-1.4212000000000007,-7.214506172839509,-2.636700000000001
151,0.915,49.73,48.50511627906976,23.9,-2.020000000000003,-2.7472000000000043,-0.3838000000000008,-1.5352000000000023,-7.793209876543221,-2.8482000000000043
152,0.92,49.98,48.74930232558139,23.81,-2.110000000000003,-2.869600000000004,-0.4009000000000005,-1.6036000000000024,-8.140432098765443,-2.975100000000004
153,0.925,50.22,48.99348837209302,23.69,-2.2300000000000004,-3.032800000000001,-0.42369999999999974,-1.6948000000000003,-8.603395061728396,-3.1443000000000003
154,0.93,50.47,49.23767441860465,23.62,-2.3000000000000007,-3.128000000000001,-0.4370000000000003,-1.7480000000000007,-8.873456790123461,-3.2430000000000008
155,0.935,50.71,49.48186046511628,23.59,-2.330000000000002,-3.1688000000000027,-0.4427000000000003,-1.7708000000000015,-8.989197530864205,-3.2853000000000026
156,0.94,50.95,49.7260465116279,23.75,-2.1700000000000017,-2.9512000000000027,-0.4123000000000001,-1.6492000000000013,-8.37191358024692,-3.059700000000002
157,0.9450000000000001,51.2,49.970232558139536,24.04,-1.8800000000000026,-2.5568000000000035,-0.35720000000000063,-1.428800000000002,-7.253086419753096,-2.6508000000000034
158,0.95,51.44,50.21441860465116,23.93,-1.990000000000002,-2.706400000000003,-0.3781000000000003,-1.5124000000000015,-7.677469135802477,-2.8059000000000025
159,0.9550000000000001,51.68,50.45860465116279,23.61,-2.3100000000000023,-3.1416000000000035,-0.4389000000000003,-1.7556000000000018,-8.912037037037045,-3.257100000000003
160,0.96,51.93,50.70279069767441,23.4,-2.520000000000003,-3.4272000000000045,-0.47880000000000056,-1.9152000000000025,-9.722222222222234,-3.5532000000000044
161,0.965,52.17,50.94697674418604,23.64,-2.280000000000001,-3.1008000000000018,-0.43320000000000025,-1.7328000000000008,-8.7962962962963,-3.214800000000001
162,0.97,52.41,51.19116279069767,23.68,-2.240000000000002,-3.046400000000003,-0.4256000000000002,-1.7024000000000015,-8.641975308641982,-3.1584000000000025
163,0.975,52.66,51.4353488372093,24.16,-1.7600000000000016,-2.3936000000000024,-0.33440000000000003,-1.3376000000000012,-6.790123456790129,-2.481600000000002
164,0.98,52.9,51.679534883720926,24.56,-1.360000000000003,-1.8496000000000041,-0.2584000000000004,-1.0336000000000023,-5.246913580246925,-1.9176000000000042
165,0.985,53.15,51.92372093023255,24.74,-1.1800000000000033,-1.6048000000000047,-0.2242000000000004,-0.8968000000000025,-4.552469135802482,-1.6638000000000046
166,0.99,53.39,52.16790697674418,24.5,-1.4200000000000017,-1.9312000000000025,-0.26980000000000026,-1.0792000000000013,-5.478395061728401,-2.0022000000000024
167,0.995,53.63,52.41209302325581,24.2,-1.7200000000000024,-2.3392000000000035,-0.3268000000000004,-1.307200000000002,-6.635802469135811,-2.4252000000000034
168,1.0,53.88,52.656279069767436,24.11,-1.8100000000000023,-2.4616000000000033,-0.3439000000000001,-1.3756000000000017,-6.983024691358033,-2.552100000000003
169,1.005,54.12,52.90046511627906,24.18,-1.740000000000002,-2.3664000000000027,-0.33060000000000045,-1.3224000000000016,-6.712962962962971,-2.4534000000000025
170,1.01,54.36,53.144651162790694,24.31,-1.610000000000003,-2.1896000000000044,-0.3059000000000003,-1.2236000000000022,-6.211419753086431,-2.2701000000000042
171,1.015,54.61,53.38883720930232,24.19,-1.7300000000000004,-2.3528000000000007,-0.3287,-1.3148000000000004,-6.674382716049385,-2.4393000000000002
172,1.02,54.85,53.633023255813946,23.96,-1.9600000000000009,-2.6656000000000013,-0.3724000000000003,-1.4896000000000007,-7.561728395061731,-2.763600000000001
173,1.025,55.1,53.87720930232557,23.64,-2.280000000000001,-3.1008000000000018,-0.43320000000000025,-1.7328000000000008,-8.7962962962963,-3.214800000000001
