Sample ID,Mid depth CCSF-361-U1475-BCDEF-20160305 (m),SS mean,SS Std
"361-U1475E-3H-2, 70-72",18.659,23.595,0.035355339
"361-U1475E-3H-2, 74-76",18.699,25.46,0.183847763
"361-U1475E-3H-2, 78-80",18.739,24.77,0.056568542
"361-U1475E-3H-2, 82-84",18.779,25.18,0.155563492
"361-U1475E-3H-2, 86-88",18.819,24.525,0.049497475
"361-U1475E-3H-2, 90-92",18.859,24.405,0.021213203
"361-U1475E-3H-2, 94-96",18.899,27.59,0.141421356
"361-U1475E-3H-2, 98-100",18.939,24.83,0.028284271
"361-U1475E-3H-2, 102-104",18.979,28.595,0.035355339
"361-U1475E-3H-2, 106-108",19.019,25.8,0.127279221
"361-U1475E-3H-2, 110-112",19.059,26.105,0.219203102
"361-U1475E-3H-2, 114-116",19.099,28.125,0.16263456
"361-U1475E-3H-2, 118-120",19.139,26.855,0.021213203
"361-U1475E-3H-2, 122-124",19.179,25.4,0.127279221
"361-U1475E-3H-2, 126-128",19.219,26.165,0.176776695
"361-U1475E-3H-2, 130-132",19.259,24.05,0.042426407
"361-U1475E-3H-2, 134-136",19.299,22.17,0.098994949
"361-U1475E-3H-2, 138-140",19.339,23.02333333,0.369639464
"361-U1475E-3H-2, 142-144",19.379,25.385,0.06363961
"361-U1475E-3H-2, 146-148",19.419,23.5,0.212132034
"361-U1475E-3H-3, 4-6",19.499,22.735,0.007071068
"361-U1475E-3H-3, 8-10",19.539,22.92,0.169705627
"361-U1475E-3H-3, 12-14",19.579,21.475,0.190918831
"361-U1475E-3H-3, 16-18",19.619,23.035,0.16263456
"361-U1475E-3H-3, 20-22",19.659,23.615,0.049497475
"361-U1475E-3H-3, 24-26",19.699,23,0.028284271
"361-U1475E-3H-3, 28-30",19.739,23.325,0.190918831
"361-U1475E-3H-3, 32-34",19.779,22.785,0.035355339
"361-U1475E-3H-3, 36-38",19.819,24.89,0.056568542
"361-U1475E-3H-3, 40-42",19.859,23.74,0.113137085
"361-U1475E-3H-3, 44-46",19.899,24.645,0.134350288
"361-U1475E-3H-3, 48-50",19.939,22.795,0.233345238
"361-U1475E-3H-3, 52-54",19.979,23.77,0.20808652
"361-U1475E-3H-3, 56-58",20.019,24.99,0.169705627
"361-U1475E-3H-3, 60-62",20.059,26.565,0.06363961
"361-U1475E-3H-3, 64-66",20.099,24.6,0.084852814
"361-U1475E-3H-3, 68-70",20.139,26.56,0.014142136
"361-U1475E-3H-3, 72-74",20.179,26.39,0
"361-U1475E-3H-3, 76-78",20.219,23.3,0.098994949
"361-U1475E-3H-3, 80-82",20.259,27.815,0.16263456
"361-U1475E-3H-3, 84-86",20.299,25.405,0.091923882
"361-U1475E-3H-3, 88-90",20.339,25.76,0.042426407
