Sample ID,Depth (m),SS mean
MD02-2588-332.5,332.5,22.2138
MD02-2588-333.5,333.5,21.3122
MD02-2588-334.5,334.5,22.0252
MD02-2588-335.5,335.5,21.6033
MD02-2588-336.5,336.5,22.0127
MD02-2588-337.5,337.5,21.3369
MD02-2588-338.5,338.5,20.9321
MD02-2588-339.5,339.5,22.8622
MD02-2588-340.5,340.5,22.1316
MD02-2588-341.5,341.5,20.6679
MD02-2588-342.5,342.5,20.3318
MD02-2588-343.5,343.5,21.45
MD02-2588-344.5,344.5,21.9933
MD02-2588-345.5,345.5,19.9185
MD02-2588-346.5,346.5,21.284
MD02-2588-347.5,347.5,19.5189
MD02-2588-348.5,348.5,21.3269
MD02-2588-349.5,349.5,19.4142
MD02-2588-350.5,350.5,21.7805
MD02-2588-351.5,351.5,20.5002
MD02-2588-352.5,352.5,19.5216
MD02-2588-353.5,353.5,22.1553
MD02-2588-354.5,354.5,19.4895
MD02-2588-355.5,355.5,23.5452
MD02-2588-356.5,356.5,21.4546
MD02-2588-357.5,357.5,21.0426
MD02-2588-358.5,358.5,20.969
MD02-2588-359.5,359.5,21.861
MD02-2588-360.5,360.5,22.4344
MD02-2588-361.5,361.5,21.7044
MD02-2588-362.5,362.5,22.512
MD02-2588-363.5,363.5,20.212
MD02-2588-364.5,364.5,22.031
MD02-2588-365.5,365.5,22.0734
MD02-2588-366.5,366.5,21.1436
MD02-2588-367.5,367.5,21.6996
MD02-2588-368.5,368.5,20.3864
MD02-2588-369.5,369.5,21.6052
MD02-2588-370.5,370.5,24.4174
MD02-2588-371.5,371.5,20.625
MD02-2588-372.5,372.5,21.2702
MD02-2588-373.5,373.5,21.063
MD02-2588-374.5,374.5,21.7783
MD02-2588-375.5,375.5,21.095
MD02-2588-376.5,376.5,19.9376
MD02-2588-377.5,377.5,20.6087
MD02-2588-378.5,378.5,19.7096
MD02-2588-379.5,379.5,19.8228
MD02-2588-380.5,380.5,20.1778
MD02-2588-381.5,381.5,19.504
MD02-2588-382.5,382.5,18.8717
MD02-2588-383.5,383.5,19.5936
MD02-2588-384.5,384.5,19.7097
MD02-2588-385.5,385.5,20.1389
MD02-2588-386.5,386.5,18.7903
MD02-2588-387.5,387.5,19.6963
MD02-2588-388.5,388.5,19.7402
MD02-2588-389.5,389.5,19.491
MD02-2588-390.5,390.5,20.6092
MD02-2588-391.5,391.5,19.9173
MD02-2588-392.5,392.5,19.5403
MD02-2588-393.5,393.5,19.2655
MD02-2588-394.5,394.5,19.1075
MD02-2588-395.5,395.5,20.596
MD02-2588-396.5,396.5,20.2607
MD02-2588-397.5,397.5,21.7462
MD02-2588-398.5,398.5,20.4454
MD02-2588-399.5,399.5,21.4102
MD02-2588-400.5,400.5,21.6191
MD02-2588-401.5,401.5,20.9551
MD02-2588-402.5,402.5,22.3084
