,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
1554,"361-U1475E-4H-3, 10-12",30.301,31.456,2.854,0.492,2,1.231,0.618,0,0,0,20.05,0.127279221
1555,"361-U1475E-4H-3, 14-16",30.341,31.496,2.799,0.699,3,2.633,0.453,0,0,0,19.96,0.056568542
1556,"361-U1475E-4H-3, 18-20",30.381,31.536,2.879,0.526,1,0.959,0.791,0,0,0,18.72,0.113137085
1557,"361-U1475E-4H-3, 22-24",30.421,31.576,2.794,0.668,12,1.468,0.725,0,0,0,20.17666667,0.171561456
1558,"361-U1475E-4H-3, 26-28",30.461,31.616,2.704,0.756,4,1.168,0.568,0,0,0,20.1,0.070710678
1559,"361-U1475E-4H-3, 30-32",30.501,31.656,,0.345,12,1.288,0.71,2.535356336,2.535356336,10.24409148,19.465,0.06363961
1560,"361-U1475E-4H-3, 34-36",30.541,31.696,2.839,0.689,8,1.293,0.578,0,0,0,19.605,0.148492424
1561,"361-U1475E-4H-3, 38-40",30.581,31.736,3.397,0.755,15,1.66,0.96,1.316872428,1.316872428,5.131167745,19.795,0.049497475
1562,"361-U1475E-4H-3, 42-44",30.621,31.776,2.99,0.847,11,1.624,0.948,0,0,0,19.47,0.014142136
1563,"361-U1475E-4H-3, 46-48",30.661,31.816,2.932,0.576,15,1.711,1.023,0,0,0,19.465,0.007071068
1564,"361-U1475E-4H-3, 50-52",30.701,31.856,3.092,0.733,15,1.693,0.851,0,0,0,19.745,0.035355339
1565,"361-U1475E-4H-3, 54-56",30.741,31.896,3.18,0.715,15,1.655,0.938,1.208367948,1.208367948,5.066457815,20.195,0.049497475
1566,"361-U1475E-4H-3, 58-60",30.781,31.936,3.223,0.677,15,1.864,0.855,0,0,0,19.98,0.014142136
1567,"361-U1475E-4H-3, 62-64",30.821,31.976,3.405,0.636,15,1.801,0.719,2.624671916,2.624671916,11.15594698,19.455,0.049497475
1568,"361-U1475E-4H-3, 66-68",30.861,32.016,3.329,0.629,15,1.768,0.764,2.311971678,2.311971678,9.604271312,20.73,0.169705627
1569,"361-U1475E-4H-3, 70-72",30.901,32.056,3.339,0.689,15,1.755,0.867,2.411636144,2.411636144,9.929431523,19.555,0.035355339
1570,"361-U1475E-4H-3, 74-76",30.941,32.096,3.344,0.371,15,2.078,1.028,0,0,0,19.85,0.084852814
1571,"361-U1475E-4H-3, 78-80",30.981,32.136,3.409,0.659,15,1.879,0.955,0,0,0,21.04,0.113137085
1572,"361-U1475E-4H-3, 82-84",31.021,32.176,3.415,0.435,9,1.863,0.755,0,0,0,21.435,0.007071068
1573,"361-U1475E-4H-3, 86-88",31.061,32.216,3.551,0.611,10,1.754,0.66,1.664780782,1.664780782,6.936480064,22.005,0.049497475
1574,"361-U1475E-4H-3, 90-92",31.101,32.256,3.577,0.529,5,1.86,0.549,0,0,0,24.17,0.014142136
1575,"361-U1475E-4H-3, 94-96",31.141,32.296,3.729,0.233,2,2.023,0.601,0,0,0,23.95,0.014142136
1576,"361-U1475E-4H-3, 98-100",31.181,32.336,3.697,-0.051,11,2.038,0.605,2.637543787,2.637543787,10.71309993,24.5,0
1577,"361-U1475E-4H-3, 102-104",31.221,32.376,3.531,0.206,4,1.813,0.33,7.313449891,7.313449891,30.29575208,24.35,0.070710678
1578,"361-U1475E-4H-3, 106-108",31.261,32.416,3.688,-0.186,3,1.926,0.63,12.45233092,12.45233092,49.04694583,24.46,0.084852814
1579,"361-U1475E-4H-3, 110-112",31.301,32.456,3.846,-0.204,13,2.141,0.776,12.47563353,12.47563353,49.54985642,24.69,0.212132034
1580,"361-U1475E-4H-3, 114-116",31.341,32.496,3.885,-0.119,8,1.992,1.027,5.881001608,5.881001608,22.88773973,23.92,0.113137085
1581,"361-U1475E-4H-3, 118-120",31.381,32.536,3.599,0.367,6,2.132,0.973,10.38421599,10.38421599,39.76670614,21.77,0.127279221
1582,"361-U1475E-4H-3, 122-124",31.421,32.576,3.775,0.051,13,1.882,0.963,5.319148936,5.319148936,19.44372591,24.93,0.084852814
1583,"361-U1475E-4H-3, 126-128",31.461,32.616,3.7,0.497,8,1.844,0.995,2.44069865,2.44069865,8.935712866,24.01,0.292061637
1584,"361-U1475E-4H-3, 130-132",31.501,32.656,3.684,0.19,10,1.729,0.915,0,0,0,22.605,0.021213203
1585,"361-U1475E-4H-3, 134-136",31.541,32.696,3.277,0.577,12,1.862,0.913,4.960471245,4.960471245,18.67965102,25.035,0.049497475
1586,"361-U1475E-4H-3, 138-140",31.581,32.736,3.137,0.41,3,1.504,0.716,2.417557511,2.417557511,9.123872599,23.41666667,0.184481255
1587,"361-U1475E-4H-3, 142-144",31.621,32.776,3.239,0.282,6,1.431,0.402,1.905867989,1.905867989,7.340621871,23.83,0.183847763
1588,"361-U1475E-4H-3, 146-148",31.661,32.816,3.388,0.549,6,1.624,0.843,,,0,23.15,0.098994949
1589,"361-U1475E-4H-4, 0-2",31.701,32.856,3.291,0.48,7,1.598,0.408,0,0,0,24.26,0.113137085
1590,"361-U1475E-4H-4, 4-6",31.741,32.896,3.483,0.074,5,1.559,0.054,0,0,0,23.46,0.22627417
1591,"361-U1475E-4H-4, 8-10",31.781,32.936,3.663,0.195,4,1.816,0.396,5.278568188,5.278568188,9.338693131,24.865,0.120208153
1592,"361-U1475E-4H-4, 12-14",31.821,32.976,3.779,0.104,5,1.883,0.214,6.097560976,6.097560976,10.55231277,24.64,0.084852814
1593,"361-U1475E-4H-4, 16-18",31.861,33.016,3.753,0.213,4,2.167,0.649,5.686614243,5.686614243,9.539890837,22.71333333,0.335608899
1594,"361-U1475E-4H-4, 20-22",31.901,33.056,3.845,0.115,7,2.076,0.544,23.93082496,23.93082496,40.90079002,22.19666667,0.191398363
1595,"361-U1475E-4H-4, 24-26",31.941,33.096,4.278,-0.492,6,1.674,0.154,40.81074926,40.81074926,71.29144765,22.64,0.410731056
1596,"361-U1475E-4H-4, 28-30",31.981,33.136,3.903,-0.058,8,1.843,0.269,39.73826241,39.73826241,69.34173934,24.05333333,0.275015151
1597,"361-U1475E-4H-4, 32-34",32.021,33.176,4.081,-0.231,10,2.299,0.819,62.78524206,62.78524206,111.7325391,25.015,0.134350288
1598,"361-U1475E-4H-4, 36-38",32.061,33.216,3.969,-0.003,9,,,38.91366032,38.91366032,69.24137399,26.09666667,0.231156513
1599,"361-U1475E-4H-4, 40-42",32.101,33.256,3.625,0.374,8,,,23.52845064,23.52845064,42.44646774,24.50333333,0.217332311
1600,"361-U1475E-4H-4, 44-46",32.141,33.296,3.618,-0.16,7,,,38.86942303,38.86942303,73.84918958,24.43,0.155563492
1601,"361-U1475E-4H-4, 48-50",32.181,33.336,3.561,0.047,6,,,45.84162356,45.84162356,87.57937423,26.74666667,0.263122278
1602,"361-U1475E-4H-4, 52-54",32.221,33.376,3.514,0.096,15,,,5.349381478,5.349381478,10.00637342,26.82,0.098994949
1603,"361-U1475E-4H-4, 56-58",32.261,33.416,3.271,0.446,15,,,9.823107325,9.823107325,18.01451518,25.265,0.16263456
1604,"361-U1475E-4H-4, 60-62",32.301,33.456,3.348,0.468,15,,,0,0,0,25.3,0.042426407
1605,"361-U1475E-4H-4, 64-66",32.341,33.496,3.43,0.284,15,,,0,0,0,23.72,0.160934769
1606,"361-U1475E-4H-4, 68-70",32.381,33.536,3.396,0.507,15,,,0,0,0,23.225,0.16263456
1607,"361-U1475E-4H-4, 72-74",32.421,33.576,3.234,0.549,15,,,0,0,0,22.435,0.120208153
1608,"361-U1475E-4H-4, 76-78",32.461,33.616,3.15,0.834,15,,,0,0,0,23.585,0.049497475
1609,"361-U1475E-4H-4, 80-82",32.501,33.656,3.233,0.702,,,,0,0,0,22.59,0.084852814
1610,"361-U1475E-4H-4, 84-86",32.541,33.696,3.126,0.659,15,,,0,0,0,22.565,0.106066017
1611,"361-U1475E-4H-4, 88-90",32.581,33.736,3.139,0.736,15,,,1.578551432,1.578551432,2.966785569,22.88,0.197989899
1612,"361-U1475E-4H-4, 92-94",32.621,33.776,3.096,0.618,15,,,2.362233787,2.362233787,4.439665991,23.53,0.149331845
1613,"361-U1475E-4H-4, 96-98",32.661,33.816,3.26,0.728,15,,,3.170121604,3.170121604,6.065183625,23.415,0.148492424
1614,"361-U1475E-4H-4, 100-102",32.701,33.856,3.169,0.65,15,,,0,0,0,23.575,0.035355339
1615,"361-U1475E-4H-4, 104-106",32.741,33.896,3.179,0.863,15,,,1.520876405,1.520876405,2.916718702,25.035,0.120208153
